S/N, ApplicationNumber, Title, AssigneeOriginal, Language, PriorityDate, FilingDate, PublicationDate, GrantDate, Inventor, Assignee, Pdf
97.2, KR20170097708A, 프리코딩 정보 수집 방법 및 송신 기기, 후아웨이 테크놀러지 컴퍼니 리미티드, , 2014-12-17, 2014-12-17, 2017-08-28, , 더리 챠오-예 우-다겅 천-진 류, , https://patentimages.storage.googleapis.com/68/02/01/abd70d7b9b4c68/KR20170097708A.pdf
97.3, JP2018505589A, プリコーディング情報収集方法、及び送信デバイス, 華為技術有限公司Ｈｕａｗｅｉ Ｔｅｃｈｎｏｌｏｇｉｅｓ Ｃｏ．，Ｌｔｄ．華為技術有限公司Ｈｕａｗｅｉ  Ｔｅｃｈｎｏｌｏｇｉｅｓ  Ｃｏ．，Ｌｔｄ．, , 2014-12-17, 2014-12-17, 2018-02-22, , ▲徳▼礼 ▲喬▼-▲徳▼礼 ▲喬▼-▲曄▼ ▲呉▼-▲曄▼ ▲呉▼-大庚 ▲陳▼-大庚 ▲陳▼-瑾 ▲劉▼-瑾 ▲劉▼, , https://patentimages.storage.googleapis.com/7f/c5/f6/061b93da924729/JP2018505589A.pdf
97.4, CN107005296A, 一种预编码信息收集方法及传输设备, 华为技术有限公司, , 2014-12-17, 2014-12-17, 2017-08-01, , 乔德礼-吴晔-陈大庚-刘瑾, , https://patentimages.storage.googleapis.com/66/56/da/2bf8f5ac0e69eb/CN107005296A.pdf
97.5, US20170288760A1, Precoding information collection method and transmission device, Huawei Technologies Co Ltd, , 2014-12-17, 2017-06-16, 2017-10-05, , Deli Qiao-Ye Wu-Dageng Chen-Jin Liu, , https://patentimages.storage.googleapis.com/a4/e6/8a/55b36bb54d1444/US20170288760A1.pdf
98, WO2017193734A1, 参考信号的发送方法及设备, 华为技术有限公司, , 2016-05-13, 2017-04-05, 2017-11-16, , 刘瑾-毕晓艳-葛士斌, , 
99, WO2017133306A1, 传输导频信号的方法和装置, 华为技术有限公司, , 2016-02-03, 2016-11-28, 2017-08-10, , 施弘哲-刘瑾-陈大庚-毕晓艳, , 
100, WO2017121185A1, 一种参考信号的配置方法及设备, 华为技术有限公司, , 2016-01-13, 2016-11-18, 2017-07-20, , 刘瑾-杭海存-毕晓艳-陈大庚, , 
101, WO2016187784A1, 一种无线帧传输的方法和装置, 华为技术有限公司, , 2015-05-25, 2015-05-25, 2016-12-01, , 刘瑾-吴晔-陈大庚, , 
101.1, CN107615848A, 一种无线帧传输的方法和装置, 华为技术有限公司, , 2015-05-25, 2015-05-25, 2018-01-19, , 刘瑾-吴晔-陈大庚, , https://patentimages.storage.googleapis.com/f3/fa/37/d518d233168968/CN107615848A.pdf
102, WO2017054745A1, 传输控制信令的方法和装置, 华为技术有限公司, , 2015-09-29, 2016-09-29, 2017-04-06, , 刘瑾-吴晔-毕晓艳, , 
103, WO2017193727A1, 参考信号传输方法、网络设备、用户设备和通信系统, 华为技术有限公司, , 2016-05-12, 2017-03-31, 2017-11-16, , 毕晓艳-刘瑾-吴晔-杭海存, , 
104, WO2017113959A1, 信道估计方法、发送端设备和接收端设备, 华为技术有限公司, , 2015-12-28, 2016-10-25, 2017-07-06, , 陈大庚-刘瑾-刘永-施弘哲, , 
105, WO2018006741A1, 传输信号的方法和装置, 华为技术有限公司, , 2016-07-07, 2017-06-28, 2018-01-11, , 刘瑾-欧凯文·卡·勤-葛士斌-蒋鹏, , 
106, WO2017193804A1, 同步信号的发送、接收方法、基站及用户设备, 华为技术有限公司, , 2016-05-12, 2017-04-24, 2017-11-16, , 葛士斌-刘瑾-毕晓艳, , 
107, WO2018028343A1, 传输信号的方法和装置, 华为技术有限公司, , 2016-08-11, 2017-07-03, 2018-02-15, , 刘瑾-毕晓艳-蒋鹏-李剑, , 
108, WO2018054191A1, 免授权传输的方法、网络设备和终端设备, 华为技术有限公司, , 2016-09-26, 2017-08-21, 2018-03-29, , 张锦芳-卢磊-刘瑾, , 
109, WO2018028340A1, 低功耗模式下的ue的跟踪处理方法和设备, 华为技术有限公司, , 2016-08-11, 2017-06-30, 2018-02-15, , 刘瑾-欧凯文•卡•勤-张立清-张锦芳, , 
110, WO2018059151A1, 资源管理指示方法及装置, 华为技术有限公司, , 2016-09-28, 2017-08-15, 2018-04-05, , 罗俊-刘亚林-刘瑾, , 
111, WO2018028339A1, 同步处理方法、装置和设备, 华为技术有限公司, , 2016-08-12, 2017-06-30, 2018-02-15, , 刘瑾-黄磊-毕晓艳-金黄平, , 
S/N, ApplicationNumber, Title, AssigneeOriginal, Language, PriorityDate, FilingDate, PublicationDate, GrantDate, Inventor, Assignee, Pdf
112, EP3226436A1, Pre-coding information collection method and transmission device, Huawei Technologies Co Ltd, , 2014-12-17, 2014-12-17, 2017-10-04, , Deli QIAO-Ye Wu-Dageng Chen-Jin Liu, , https://patentimages.storage.googleapis.com/80/b5/ea/b361e63813a888/EP3226436A1.pdf
113, EP3301841A1, Method and apparatus for acquiring channel state information, Huawei Technologies Co Ltd, , 2015-06-30, 2015-06-30, 2018-04-04, , Ye Wu-Jin Liu-Xiaoyan Bi, , https://patentimages.storage.googleapis.com/fd/1f/54/662ec9364c9f61/EP3301841A1.pdf
114, WO2017195183A1, Precoding and channel state information acquisition for multi-stream transmissions in massive mimo systems, Huawei Technologies Co. Ltd., , 2016-05-13, 2017-05-15, 2017-11-16, , Lu WU-Wei Han-Peng Shang-Jin Liu-Xiaoyan Bi-Shibin GE-Dageng Chen, , 
